Day;nrEmpty;nrGrass;nrRabbits;nrFemaleRabbits;nrMaleRabbits;nrFoxes;nrFemaleFoxes;nrMaleFoxes;av.LevelGRass;av.AgeRabbit;av.AgeFox;changeOfEmpty;changeOfGrass;changeOfRabbit;changeOfFox;
Initial Day;106;94;163;78;85;37;19;18;1;0;0;106;94;163;37
1;26;181;156;73;83;37;19;18;2.97;1;1;-80;87;-7;0
2;12;196;155;72;83;37;19;18;3.12;2;2;-14;15;-1;0
3;20;156;187;82;105;37;19;18;1.74;1.46;3;8;-40;32;0
4;6;198;157;74;83;39;20;19;1.42;2.1;3.38;-14;42;-30;2
5;0;186;169;81;88;45;22;23;1.41;2.27;2.98;-6;-12;12;6
6;2;160;192;91;101;46;23;23;1.11;1.95;3.89;2;-26;23;1
7;2;175;176;87;89;47;24;23;0.77;2.11;4.4;0;15;-16;1
8;2;189;159;78;81;50;25;25;0.64;2.09;4.52;0;14;-17;3
9;1;198;149;72;77;52;27;25;0.56;1.96;5;-1;9;-10;2
10;0;205;137;63;74;58;28;30;0.67;1.83;4.98;-1;7;-12;6
11;0;214;131;60;71;55;26;29;0.76;1.88;4.89;0;9;-6;-3
